Gene	log2FC	p_value
100287102	-1.4862	0.1614
653635	-1.3938	0.0355
102466751	-1.5425	0.0823
107985730	-15.7863	0.2192
100302278	0.0000	nan
645520	0.3887	0.8607
79501	0.0000	nan
100996442	-1.9419	0.0387
729737	-1.8936	0.0355
102725121	-0.9601	0.4195
102723897	-1.2834	0.0924
102465909	-2.8861	0.0439
107985721	0.0155	0.9856
112268260	-0.9620	0.0932
729759	-15.3374	0.4950
100132287	-2.0285	0.0326
105378947	-0.5654	0.5873
101928626	0.0000	nan
113219467	-0.8676	0.0005
81399	-2.2704	0.0529
100133331	-2.0586	0.0182
107984841	-0.9078	0.1911
107984847	-1.5741	0.0402
107984849	-2.6383	0.0276
100288069	-1.8353	0.0312
105378580	-0.5592	0.0437
400728	-0.5368	0.5882
79854	-0.9005	0.1040
643837	-0.9500	0.1188
107984850	-1.0866	0.5913
284593	-0.1628	0.8920
284600	1.3938	0.3246
100130417	0.7762	0.5066
107985728	-0.7020	0.3970
148398	1.1157	0.3058
26155	0.0373	0.9692
339451	-3.2784	0.0147
84069	-0.8308	0.3406
84808	-1.1636	0.0009
57801	0.8523	0.5860
9636	3.3366	0.2986
375790	-1.8603	0.0712
100288175	-0.9904	0.4122
112267874	-13.4397	0.4950
105378948	-1.1964	0.3852
401934	-14.3206	0.4950
54991	-1.1161	0.1058
254099	0.0000	nan
406984	0.0000	nan
406983	0.0000	nan
554210	0.0000	nan
100506376	-11.8128	0.4950
254173	13.5174	0.2722
8784	-14.4209	0.3065
7293	-2.7462	0.0511
51150	-1.3248	0.1560
126792	-0.5331	0.1511
388581	-0.8124	0.4180
118424	-0.7024	0.1059
101928895	-2.0719	0.0083
6339	-4.5366	0.0006
116983	-2.1587	0.0123
102465434	-20.1152	0.1083
109623456	-22.4036	0.0087
126789	-0.2981	0.6098
54973	-0.6091	0.4550
102465435	-22.7844	0.1274
80772	-1.2187	0.1952
83756	-0.3590	0.5631
1855	-1.1813	0.1429
102466740	-20.6883	0.0028
54587	-0.2763	0.6570
54998	0.3866	0.0811
81669	-2.0220	0.0661
148413	-0.7356	0.0079
55052	0.1966	0.4441
107984868	0.3925	0.7745
441869	-0.1285	0.8527
105378585	-1.9420	0.3752
643965	0.0000	nan
102724312	-13.6186	0.4950
107985729	-14.3255	0.4950
64856	-2.7902	0.1545
219293	-0.0972	0.8611
83858	-1.4488	0.0254
55210	-0.6279	0.3581
339453	-2.2087	0.0541
29101	-0.3810	0.5886
643988	-0.0914	0.8617
105378586	-0.6038	0.3956
142678	-1.1662	0.1461
8510	-1.6540	0.1017
984	-1.0014	0.0088
728661	-1.0008	0.0506
8511	-0.4159	0.6656
728642	-1.5726	0.0103
9906	-0.4209	0.2063
112268218	-0.6440	0.2688
65220	-1.0082	0.0855
2782	-0.9083	0.0428
105378949	-1.7026	0.2136
163688	-3.6468	0.0490
339456	-3.3886	0.0432
85452	1.9379	0.4328
107984872	0.0000	nan
105378589	0.0000	nan
2563	16.6053	0.2722
105378590	0.0000	nan
105378591	0.0000	nan
5590	-1.2178	0.0104
100506504	-2.9348	0.0087
199990	-0.9786	0.2013
112268219	-1.4975	0.0921
105378593	-2.9828	0.1615
6497	-1.9577	0.0306
79906	-0.9570	0.1295
100129534	-3.0424	0.0033
11079	-0.2573	0.5253
5192	-0.3702	0.6348
9651	-1.3969	0.3914
55229	-1.1605	0.1079
388585	0.0000	nan
115110	-1.6987	0.0819
8764	-0.6147	0.5243
100996583	-16.5913	0.2277
127281	-0.8865	0.2435
79258	0.0288	0.9764
105378597	-15.4242	0.4950
100287898	-17.2787	0.0038
105378603	0.0000	nan
105378602	0.0000	nan
105378601	0.0000	nan
112268220	0.0000	nan
107985732	0.0000	nan
105378600	0.0000	nan
105378598	0.0000	nan
107984904	0.0000	nan
105378599	0.0000	nan
140625	0.0000	nan
440556	-14.2803	0.3642
63976	0.6674	0.4808
100422968	0.0000	nan
105378606	0.0000	nan
107984909	0.0000	nan
105378605	0.0000	nan
105378604	2.3722	0.0256
27237	-1.5877	0.3356
1953	-3.0140	0.0449
105378608	-18.5329	0.2191
693135	0.0000	nan
105378607	0.0000	nan
127262	-0.3897	0.2597
49856	-0.7243	0.3504
7161	-1.2534	0.0583
105378610	17.0559	0.2722
105378609	0.0000	nan
57212	-1.0549	0.0601
148870	-13.8495	0.3032
388588	-2.3119	0.1209
57470	-0.2730	0.1602
9731	-0.0220	0.9672
1677	-1.4406	0.0374
107984910	-0.0228	0.9892
339448	-0.1297	0.7635
100133612	-19.6016	0.2802
728716	19.7232	0.2722
105376672	0.0000	nan
105376673	0.0000	nan
284661	0.0000	nan
105376674	0.0000	nan
105376679	17.2232	0.2722
107985376	0.0000	nan
55966	0.7196	0.5127
105376680	16.2859	0.2722
102724429	0.0000	nan
105376681	0.0000	nan
105376682	0.0000	nan
107984911	0.0000	nan
105376686	0.0000	nan
100616421	-17.7108	0.4950
261734	-3.0716	0.0485
8514	-1.9139	0.0587
26038	-2.2735	0.1790
105376687	0.0000	nan
6146	-0.0787	0.8835
107985733	-0.5688	0.5567
